episode,score,total_reward,epsilon,steps,avg_loss,merge_rate,max_level_merges
1,2374,630,1.0,197,12.472916407371635,80.20304568527918,0
2,1820,531,0.9978787878787879,152,7.446548447797173,78.28947368421053,0
3,3825,989,0.9957575757575757,272,6.921306438305798,89.33823529411765,0
4,2927,806,0.9936363636363637,231,7.220687618503323,82.68398268398268,0
5,2353,634,0.9915151515151515,178,6.744713899794589,82.58426966292134,0
6,5102,1433,0.9893939393939394,355,6.579415156136096,91.26760563380282,1
7,3396,936,0.9872727272727273,247,6.519099159279333,87.4493927125506,0
8,3065,770,0.9851515151515151,237,6.081785841833187,84.81012658227847,0
9,4293,1104,0.983030303030303,299,5.74953925171026,89.63210702341136,0
10,3823,1043,0.980909090909091,267,5.625862162657891,89.8876404494382,0
11,4603,1291,0.9787878787878788,340,5.484199150169597,91.17647058823529,1
12,4508,1141,0.9766666666666667,309,5.736370288052605,91.2621359223301,1
13,4429,1263,0.9745454545454546,320,5.705213909596205,88.75,1
14,2979,802,0.9724242424242424,220,5.788404143940319,85.45454545454545,0
15,2370,633,0.9703030303030303,179,5.459465655534627,82.68156424581005,0
16,3569,942,0.9681818181818181,243,5.512722997508422,90.94650205761316,0
17,2657,751,0.9660606060606061,214,5.0350547382764725,82.2429906542056,0
18,1651,511,0.963939393939394,153,5.014503990123474,76.47058823529412,0
19,4868,1227,0.9618181818181818,330,4.791311543638056,91.21212121212122,1
20,2560,631,0.9596969696969697,201,4.56936199748101,83.08457711442786,0
21,4013,1052,0.9575757575757575,274,4.39026342517268,90.87591240875912,1
22,4479,1240,0.9554545454545454,305,4.680920758403715,89.8360655737705,0
23,3024,904,0.9533333333333334,221,4.6749725730171034,87.78280542986425,0
24,3075,844,0.9512121212121212,231,4.745707936101145,84.4155844155844,0
25,4304,1203,0.9490909090909091,307,4.557268082124791,90.22801302931596,0
26,2500,694,0.946969696969697,186,4.483860528597268,86.55913978494624,0
27,2706,791,0.9448484848484848,202,4.5413322873634865,85.64356435643565,0
28,2474,616,0.9427272727272727,186,4.341817503334374,84.94623655913979,0
29,2367,695,0.9406060606060607,196,4.300225925688841,81.12244897959184,0
30,3599,971,0.9384848484848485,261,4.316234689105973,90.80459770114942,0
31,2747,730,0.9363636363636364,204,4.20375161895565,86.27450980392157,0
32,2146,520,0.9342424242424242,162,4.21657086080975,80.24691358024691,0
33,3811,1046,0.9321212121212121,279,4.13851620048605,90.32258064516128,0
34,2250,702,0.93,185,4.066540004111625,78.91891891891892,0
35,2949,851,0.9278787878787879,205,4.145842979593975,86.82926829268293,0
36,5444,1455,0.9257575757575758,364,4.086306426551316,91.48351648351648,1
37,3030,736,0.9236363636363636,223,3.9916068604174217,85.20179372197309,0
38,1578,407,0.9215151515151515,139,3.7223989594754556,72.66187050359713,0
39,3368,818,0.9193939393939394,244,3.8901323744508085,85.65573770491804,0
40,3556,982,0.9172727272727272,267,3.68445228637381,89.13857677902621,0
41,2879,719,0.9151515151515152,208,4.14268899594362,84.61538461538461,0
42,2968,790,0.9130303030303031,221,3.7065341542748844,86.87782805429865,0
43,5311,1506,0.9109090909090909,351,3.8890570463278356,92.5925925925926,1
44,3692,902,0.9087878787878788,262,3.5783955518525974,87.78625954198473,0
45,4210,1024,0.9066666666666667,265,3.646910020990192,90.18867924528303,1
46,2798,734,0.9045454545454545,200,3.6438966184854507,84.5,0
47,4800,1327,0.9024242424242425,317,3.7534122489604287,91.48264984227129,1
48,1491,411,0.9003030303030303,130,3.8281827688217165,73.07692307692307,0
49,3432,894,0.8981818181818182,251,3.7299225729300205,90.43824701195219,0
50,1541,494,0.8960606060606061,143,3.8015092336214504,75.52447552447552,0
51,2493,660,0.8939393939393939,182,3.7532768970007426,82.96703296703298,0
52,1764,520,0.8918181818181818,156,3.7501093500699754,76.28205128205127,0
53,3122,864,0.8896969696969698,233,3.633312501620837,88.41201716738198,0
54,3378,879,0.8875757575757576,244,3.6404805408149468,88.52459016393442,0
55,2539,629,0.8854545454545455,176,3.5619618953628973,85.22727272727273,0
56,2895,789,0.8833333333333333,203,3.552229857209868,84.23645320197043,0
57,3644,1011,0.8812121212121212,271,3.7617730500513336,89.2988929889299,0
58,3307,927,0.8790909090909091,236,3.6996255032086776,88.98305084745762,0
59,2517,664,0.876969696969697,192,3.6007055354615054,80.72916666666666,0
60,3360,943,0.8748484848484849,241,3.666297490171377,87.13692946058092,0
61,2925,804,0.8727272727272728,209,3.465677804353705,88.03827751196172,0
62,3122,966,0.8706060606060606,235,3.6000891857958854,87.2340425531915,0
63,2061,543,0.8684848484848485,166,3.3451428449297524,81.32530120481928,0
64,4108,1022,0.8663636363636363,281,3.4872223325471436,90.39145907473309,0
65,2879,767,0.8642424242424243,220,3.3141505685719577,85.0,0
66,3183,914,0.8621212121212121,238,3.4397354361389865,87.39495798319328,0
67,2628,715,0.86,195,3.4740493450409327,86.15384615384616,0
68,2677,684,0.8578787878787879,200,3.63497618496418,85.5,0
69,3130,917,0.8557575757575757,232,3.4711628910796395,87.5,0
70,2787,755,0.8536363636363636,201,3.6163967663968974,84.07960199004975,0
71,4113,1156,0.8515151515151516,294,3.511749944313854,87.41496598639455,1
72,2141,525,0.8493939393939394,167,3.4279938886265553,82.03592814371258,0
73,2855,767,0.8472727272727273,217,3.4167429395535027,83.87096774193549,0
74,2479,667,0.8451515151515152,184,3.366484504678975,84.78260869565217,0
75,7769,2063,0.843030303030303,516,3.3308522204558053,92.24806201550388,2
76,4946,1344,0.8409090909090909,338,3.3392059912342997,90.53254437869822,1
77,3237,970,0.8387878787878789,241,3.3783302806719706,86.30705394190872,0
78,2715,657,0.8366666666666667,201,3.4528242966428917,84.5771144278607,0
79,3407,945,0.8345454545454546,240,3.483296224474907,86.66666666666667,0
80,3129,896,0.8324242424242425,222,3.340261936187744,88.28828828828829,0
81,3013,745,0.8303030303030303,223,3.237128806221111,85.20179372197309,0
82,4507,1248,0.8281818181818181,311,3.4059181324538694,89.38906752411575,1
83,2346,668,0.826060606060606,175,3.1620494515555246,82.28571428571428,0
84,2061,583,0.823939393939394,172,3.343740913757058,83.72093023255815,0
85,3462,1014,0.8218181818181818,258,3.3773870149324106,86.82170542635659,0
86,3840,1075,0.8196969696969697,285,3.283718393141763,88.0701754385965,0
87,3366,866,0.8175757575757576,242,3.387221054104734,88.42975206611571,0
88,2413,648,0.8154545454545454,191,3.2261033501300513,82.72251308900523,0
89,3234,1009,0.8133333333333334,243,3.5233039934448747,88.06584362139918,0
90,1947,529,0.8112121212121213,159,3.4506658593063833,81.76100628930818,0
91,2772,797,0.8090909090909091,219,3.3680680173717135,83.10502283105022,0
92,2352,689,0.806969696969697,193,3.388184148412912,82.38341968911918,0
93,1698,466,0.8048484848484849,155,3.6316453033877956,72.90322580645162,0
94,2291,673,0.8027272727272727,172,3.437448642281599,85.46511627906976,0
95,4817,1152,0.8006060606060607,314,3.4785561580566844,92.03821656050955,1
96,2201,617,0.7984848484848486,174,3.6636940830055322,82.75862068965517,0
97,3036,778,0.7963636363636364,226,3.4906107572327674,87.61061946902655,0
98,2122,630,0.7942424242424242,167,3.343578444269603,82.63473053892216,0
99,3443,910,0.7921212121212121,257,3.4738570989801727,86.7704280155642,0
100,4706,1263,0.79,320,3.561319790035486,90.9375,1
101,2295,639,0.7878787878787878,178,3.495637380674984,83.70786516853933,0
102,3267,900,0.7857575757575758,246,3.6592198925289683,86.58536585365853,0
103,1944,559,0.7836363636363637,169,3.362058668446964,78.10650887573965,0
104,2343,658,0.7815151515151515,177,3.50906703162328,80.22598870056498,0
105,3514,899,0.7793939393939394,254,3.7187676129378673,87.79527559055119,0
106,4388,1217,0.7772727272727273,309,3.4800447653798225,89.96763754045307,0
107,3621,971,0.7751515151515151,270,3.6204314832334163,89.62962962962962,0
108,3416,940,0.7730303030303031,243,3.625188906496935,86.83127572016461,0
109,2178,620,0.7709090909090909,166,3.3163851722177253,83.13253012048193,0
110,2687,747,0.7687878787878788,215,3.673126695322436,83.25581395348837,0
111,3723,1097,0.7666666666666667,266,3.5039622218985307,87.59398496240601,0
112,4378,1238,0.7645454545454546,295,3.4973327644800736,90.5084745762712,1
113,3413,937,0.7624242424242424,250,3.5409578223228455,87.2,0
114,3048,870,0.7603030303030303,219,3.672959951505269,86.7579908675799,0
115,5544,1594,0.7581818181818182,380,3.6614370490375316,92.89473684210526,1
116,2955,814,0.7560606060606061,214,3.580117613912743,85.51401869158879,0
117,2850,723,0.7539393939393939,218,3.4541359986733955,86.69724770642202,0
118,4304,1210,0.7518181818181818,307,3.513965613290619,89.57654723127035,0
119,2800,721,0.7496969696969698,204,3.3637992225441278,86.76470588235294,0
120,3858,1018,0.7475757575757576,271,3.4953573295551035,89.2988929889299,0
121,4598,1228,0.7454545454545455,302,3.6976044395112044,91.05960264900662,1
122,2492,723,0.7433333333333334,189,3.4585983179233692,84.65608465608466,0
123,3551,973,0.7412121212121212,257,3.3801435751673776,88.715953307393,0
124,2746,794,0.7390909090909091,212,3.5434960959092625,84.43396226415094,0
125,3484,1047,0.736969696969697,254,3.484321711100931,87.4015748031496,0
126,2461,660,0.7348484848484849,193,3.531036693197458,80.31088082901555,0
127,3231,934,0.7327272727272727,248,3.3151162036003603,86.69354838709677,0
128,2199,604,0.7306060606060607,178,3.613781946428706,81.46067415730337,0
129,1984,594,0.7284848484848485,164,3.5335291398734583,79.26829268292683,0
130,2334,617,0.7263636363636363,181,3.4833935835084864,83.97790055248619,0
131,2503,682,0.7242424242424242,186,3.4373663401090973,81.18279569892472,0
132,3669,982,0.7221212121212122,259,3.537337733511759,88.8030888030888,0
133,1774,484,0.72,146,3.5340477432290167,78.76712328767124,0
134,4177,1101,0.7178787878787879,297,3.4642839588300145,87.87878787878788,0
135,2538,633,0.7157575757575758,195,3.5939487879092877,82.05128205128204,0
136,2178,738,0.7136363636363636,199,3.6391899519829294,80.40201005025126,0
137,2433,722,0.7115151515151514,196,3.3802319953636246,80.10204081632652,0
138,3208,827,0.7093939393939395,227,3.576494916420151,85.46255506607929,0
139,3190,859,0.7072727272727273,240,3.4487234796086947,87.08333333333333,0
140,1654,501,0.7051515151515152,137,3.870359528673826,75.18248175182481,0
141,4260,1154,0.703030303030303,303,3.5243441314980535,90.0990099009901,0
142,2867,768,0.7009090909090909,220,3.638050791350278,87.72727272727273,0
143,2336,654,0.6987878787878788,183,3.5651978430200795,83.60655737704919,0
144,2818,752,0.6966666666666668,205,3.5239042991545144,85.85365853658537,0
145,1937,545,0.6945454545454546,162,3.594141373663773,77.1604938271605,0
146,3103,812,0.6924242424242424,221,3.7972593717445617,85.97285067873304,0
147,2727,772,0.6903030303030304,217,3.5359605006907944,86.17511520737328,0
148,2884,816,0.6881818181818182,213,3.549117254539275,87.32394366197182,0
149,2497,650,0.6860606060606061,191,3.5795203765649446,83.24607329842932,0
150,3273,837,0.683939393939394,229,3.5142296380871767,86.8995633187773,1
151,3149,868,0.6818181818181819,238,3.551596600468419,83.19327731092437,0
152,3426,930,0.6796969696969697,256,3.4152072854340076,88.28125,0
153,5136,1397,0.6775757575757576,336,3.406974577478,90.77380952380952,1
154,3460,914,0.6754545454545455,247,3.4813777164891664,87.04453441295547,0
155,2900,874,0.6733333333333333,217,3.4320129782373456,84.33179723502305,0
156,3468,915,0.6712121212121211,251,3.334356609568653,88.04780876494024,0
157,1872,513,0.6690909090909092,156,3.2290158646228986,78.84615384615384,0
158,4942,1299,0.666969696969697,343,3.373355514801626,92.4198250728863,1
159,2052,564,0.6648484848484849,169,3.256421223900022,81.65680473372781,0
160,2556,754,0.6627272727272728,188,3.1310879448626903,84.57446808510637,0
161,3763,964,0.6606060606060606,268,3.466609437074234,87.68656716417911,0
162,1769,501,0.6584848484848485,155,3.397923643358292,81.29032258064515,0
163,2294,702,0.6563636363636364,175,3.489136520113264,86.28571428571429,0
